hole,par,green,Tee,left,right,BLACK,BLUE,WHITE,GOLD,RED
1,4,"47.094135, -122.760240","47.096982, -122.761640","47.095552, -122.760311","47.095450, -122.761169",360,360,337,304,272
2,5,"47.092475, -122.766316","47.093890, -122.760745","47.092619, -122.762762","47.092627, -122.766174",506,506,496,452,414
3,3,"47.091472, -122.768493","47.092495, -122.766947","47.091359, -122.768320","47.092210, -122.768116",179,154,126,101,90
4,4,"47.091036, -122.773964","47.090702, -122.769194","47.090885, -122.774042","47.091418, -122.772546",403,378,359,322,293
5,4,"47.094931, -122.772395","47.091524, -122.774032","47.094884, -122.772562","47.093284, -122.771907",452,423,395,363,334
6,3,"47.096495, -122.771537","47.095391, -122.773103","47.096186, -122.773079","47.095883, -122.771963",182,182,154,145,109
7,4,"47.093100, -122.768543","47.096329, -122.769485","47.093203, -122.768366","47.094138, -122.769847",413,413,394,347,321
8,4,"47.096417, -122.768700","47.093175, -122.767631","47.094666, -122.768711","47.095316, -122.767853",405,405,385,343,315
9,5,"47.096658, -122.762797","47.096667, -122.768030","47.096811, -122.762733","47.095102, -122.765340",540,540,519,489,454
Out,36,,,,,3440,3361,3165,2866,2602
10,4,"47.098074, -122.766138","47.097834, -122.761897","47.097940, -122.766044","47.098782, -122.764547",379,379,369,318,289
11,4,"47.100451, -122.766379","47.097907, -122.767112","47.099987, -122.767881","47.100385, -122.766224",359,335,314,274,246
12,5,"47.103449, -122.761600","47.101002, -122.766497","47.103347, -122.765650","47.103259, -122.761433",544,544,518,484,449
13,3,"47.103686, -122.757120","47.103230, -122.759448","47.103765, -122.757601","47.103539, -122.757054",194,194,160,135,103
14,4,"47.107446, -122.755367","47.104171, -122.756802","47.106084, -122.756228","47.106730, -122.755225",418,418,398,368,334
15,4,"47.104029, -122.754843","47.107448, -122.754726","47.107462, -122.754641","47.105437, -122.755462",423,423,376,332,303
16,3,"47.102198, -122.755237","47.103889, -122.755248","47.102702, -122.755004","47.102125, -122.755465",205,171,153,134,121
17,4,"47.102493, -122.759026","47.101523, -122.755159","47.101551, -122.758276","47.102464, -122.758335",364,364,347,314,285
18,5,"47.098267, -122.761116","47.102632, -122.760320","47.098595, -122.761049","47.099975, -122.762165",561,561,531,497,470
In,36,,,,,3447,3389,3166,2856,2600
Total,72,,,,,6887,6750,6331,5722,5202
Rating,,,,,,72.8,71.9,70.2,67.4,69.7
Slope,,,,,,124,122,117,117,114
,,,,,,,,,,
Name,The Golf Club at Hawks Prairie the Links,,,,,,,,,
Short name,Hawks Prairie the Links,,,,,,,,,
Address,"8383 Vicwood Lane, Lacey, WA 98156",,,,,,,,,
Street,8383 Vicwood Lane,,,,,,,,,
City,Lacey,,,,,,,,,
State,WA,,,,,,,,,
Country,USA,,,,,,,,,
Zip code,98156,,,,,,,,,
Phone,360-455-8383,,,,,,,,,
